,Input,DCUNet,DPTNet,RegressionFCNN,SMoLnet,WaveUNet
0,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SX139.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SX139.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SX139.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SX139.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SX139.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SX139.WAV.n121.wav
1,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SX139.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SX139.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SX139.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SX139.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SX139.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SX139.WAV.n122.wav
2,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SI1129.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SI1129.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SI1129.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SI1129.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SI1129.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SI1129.WAV.n121.wav
3,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SI1129.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SI1129.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SI1129.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SI1129.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SI1129.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SI1129.WAV.n122.wav
4,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SX319.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SX319.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SX319.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SX319.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SX319.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SX319.WAV.n122.wav
5,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SX319.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SX319.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SX319.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SX319.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SX319.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SX319.WAV.n121.wav
6,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SX409.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SX409.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SX409.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SX409.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SX409.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SX409.WAV.n122.wav
7,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SX409.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SX409.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SX409.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SX409.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SX409.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SX409.WAV.n121.wav
8,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SI1759.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SI1759.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SI1759.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SI1759.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SI1759.WAV.n121.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SI1759.WAV.n121.wav
9,configs/resources/Drone_Noise_Test_Data//drone_noise_out//Input/SI1759.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DCUNet/-10db/data/DCUNet_SI1759.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//DPTNet/-10db/data/DPTNet_SI1759.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//RegressionFCNN/-10db/data/RegressionFCNN_SI1759.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//SMoLnet/-10db/data/SMoLnet_SI1759.WAV.n122.wav,configs/resources/Drone_Noise_Test_Data//drone_noise_out//WaveUNet/-10db/data/WaveUNet_SI1759.WAV.n122.wav
